id,name,parent_category_id
982,Батуты,554
983,"Турники, спорткомплексы, доски для пресса",554
984,"Эспандеры, скакалки, обручи, гимнастические мячи",554
985,"Коврики для йоги, чехлы для спортинвентаря",554
986,Массажеры,554
987,"Бокс, единоборства",554
988,Антибактериальные и противомикробные средства,569
989,Препараты при нарушении обмена веществ,569
990,Гормональные препараты,569
991,Гомеопатические препараты,569
992,Дерматологические препараты,569
993,Иммуномодулирующие препараты,569
994,Препараты для борьбы с вредными привычками,569
995,Противовирусные препараты,569
996,Препараты для ЖКТ и печени,569
997,Лечение мочеполовой системы,569
998,Лечение нервной системы,569
999,Лечение опорно-двигательного аппарата,569
1000,Глазные и ушные средства,569
1001,"Обезболивающие препараты, анестетики",569
1002,"Здоровье сердца, сосудов, кровообращения",569
1003,Антигистаминные препараты,569
1004,Противогрибковые средства,569
1005,Стоматологические препараты,569
1006,"Тонизирующие, общеукрепляющие препараты",569
1007,Лечение геморроя,569
1008,Женское здоровье,569
1009,"Фитопрепараты, масла, настойки",569
1010,Витамины,570
1011,БАДы и пищевые добавки,570
1012,Перевязочные материалы,571
1013,Расходные материалы,571
1014,Диагностические тесты,571
1015,Диагностические приборы,571
1016,"Линзы, уход за контактными линзами",572
